country,month,clean_share
Germany,2017/12/1,35.667
Germany,2018/1/1,36.149
Germany,2018/2/1,26.435
Germany,2018/3/1,31.865
Germany,2018/4/1,38.755
Germany,2018/5/1,39.38
Germany,2018/6/1,33.758
Germany,2018/7/1,30.313
Germany,2018/8/1,30.826
Germany,2018/9/1,33.643
Germany,2018/10/1,33.604
Germany,2018/11/1,27.798
Germany,2018/12/1,35.936
Germany,2019/1/1,33.064
Germany,2019/2/1,33.092
Germany,2019/3/1,45.93
Germany,2019/4/1,39.698
Germany,2019/5/1,39.964
Germany,2019/6/1,43.106
Germany,2019/7/1,37.794
Germany,2019/8/1,36.309
Germany,2019/9/1,38.901
Germany,2019/10/1,36.814
Germany,2019/11/1,29.474
Germany,2019/12/1,41.02
Germany,2020/1/1,40.643
Germany,2020/2/1,53.45
Germany,2020/3/1,47.95
Germany,2020/4/1,50.861
Germany,2020/5/1,49.484
Germany,2020/6/1,42.673
Germany,2020/7/1,43.652
Germany,2020/8/1,38.727
Germany,2020/9/1,35.508
Germany,2020/10/1,41.784
Germany,2020/11/1,34.26
Germany,2020/12/1,33.297
Germany,2021/1/1,31.288
Germany,2021/2/1,37.648
Germany,2021/3/1,41.104
Germany,2021/4/1,41.853
Germany,2021/5/1,49.534
Germany,2021/6/1,39.71
Germany,2021/7/1,41.102
Germany,2021/8/1,43.547
Germany,2021/9/1,33.701
Germany,2021/10/1,42.26
Germany,2021/11/1,30.375
Germany,2021/12/1,33.519
Germany,2022/1/1,41.228
Germany,2022/2/1,53.84
Germany,2022/3/1,36.307
Germany,2022/4/1,46.919
Germany,2022/5/1,47.049
Germany,2022/6/1,43.707
Germany,2022/7/1,44.978
Germany,2022/8/1,38.269
Germany,2022/9/1,40.427
Germany,2022/10/1,44.48
Germany,2022/11/1,40.907
Germany,2022/12/1,35.969
Germany,2023/1/1,46.331
Germany,2023/2/1,41.328
Germany,2023/3/1,49.42
Germany,2023/4/1,51.013
Germany,2023/5/1,60.061
Germany,2023/6/1,57.74
Germany,2023/7/1,63.428
Germany,2023/8/1,55.299
Germany,2023/9/1,52.816
Germany,2023/10/1,54.813
Germany,2023/11/1,52.657
Germany,2023/12/1,55.678
Germany,2024/1/1,53.903
Germany,2024/2/1,58.044
Germany,2024/3/1,54.521
Germany,2024/4/1,62.149
Germany,2024/5/1,62.887
Germany,2024/6/1,61.963
Germany,2024/7/1,62.969
Germany,2024/8/1,59.927
Germany,2024/9/1,61.727
Germany,2024/10/1,51.832
Germany,2024/11/1,45.259
Germany,2024/12/1,52.02
Germany,2025/1/1,49.046
Germany,2025/2/1,41.709
Germany,2025/3/1,49.421
Germany,2025/4/1,57.431
Germany,2025/5/1,68.627
Germany,2025/6/1,71.252
Germany,2025/7/1,61.166
Germany,2025/8/1,65.523
Germany,2025/9/1,64.589
Germany,2025/10/1,60.471
Germany,2025/11/1,48.25
Hungary,2017/1/1,6.918
Hungary,2017/2/1,8.428
Hungary,2017/3/1,10.179
Hungary,2017/4/1,12.468
Hungary,2017/5/1,11.692
Hungary,2017/6/1,10.155
Hungary,2017/7/1,10.008
Hungary,2017/8/1,10.407
Hungary,2017/9/1,9.423
Hungary,2017/10/1,9.772
Hungary,2017/11/1,8.653
Hungary,2017/12/1,12.534
Hungary,2018/1/1,8.947
Hungary,2018/2/1,8.185
Hungary,2018/3/1,10.245
Hungary,2018/4/1,12.569
